Name,Location,Founded,Employee,About,Skills,Link
OnlineSales.ai - Software Engineer,Job available in Pune,Founded in 2016,50 - 200 employees,"OnlineSales.ai leverages big data analytics to deliver marketing experience & automation to eCommerce companies. It provides user acquisition, engagement, analytics & monetization on a single platform.","Python
Algorithms
Data Structures
Azure
AWS",https://www.instahyre.com/job-295251-software-engineer-at-onlinesales-pune/
Refyne - Software Development Engineer,Job available in Bangalore,Founded in 2020,10 - 50 employees,"Refyne is an employee-based financial wellness neo banking platform, offering real-time salary tracking and its on-demand withdrawal system before payday. It also collects financial data for employers.","Python
Java
Node.js
Data Structures
Algorithms",https://www.instahyre.com/job-295268-software-development-engineer-at-refyne-bangalore/
Shopflo - Software Developer - Backend,Job available in Bangalore,Founded in 2021,10 - 50 employees,Shopflo is a checkout platform for new-age e-commerce that has created a platform for D2C brands to help them maximize revenue from each of their customers while building a community of merchants.,"Python
Golang
Java
Node.js
Django
Express.js
Spring",https://www.instahyre.com/job-295160-software-developer-backend-at-shopflo-bangalore/
SiftHub - Senior Software Engineer - Backend,Job available in Mumbai,Founded in 2023,0 - 10 employees,SiftHub is a technology company that empowers businesses in the sales industry with an AI assistant that crafts contextual responses and automates workflows to boost productivity and elevate sales responses.,"Python
Django
Flask
DevOps
Docker",https://www.instahyre.com/job-295215-senior-software-engineer-backend-at-sifthub-mumbai/
slice - SDET - 3,Job available in Bangalore,Founded in 2016,More than 1000 employees,"-slicepay is a fin-tech startup that offers payment card designed for customers in the age group of 18-29 that comes with a pre-approved Rupay credit line backed by investors like Finup, Blume ventures, etc.","Python
Automation Testing
Mobile Apps Testing
+7",https://www.instahyre.com/job-295152-sdet-3-at-slice-bangalore/
Tata Consultancy Services - Python Developer,Job available in Mumbai,Founded in 1968,More than 1000 employees,"TCS is a global level IT firm helping clients with Analytics, Automation & AI, Cloud Apps & Infra, Cognitive Business, Consulting, Cyber Security, Enterprise Applications, IoT, Quality Engineering, etc.","Python
Django
Flask
CI - CD
MySQL",https://www.instahyre.com/job-295277-python-developer-at-tata-consultancy-services-mumbai/
The Chatterjee Group Real Estate - Senior Data Scientist,Job available in Mumbai,Founded in 1996,50 - 200 employees,"TCGRE is a commercial real estate company focusing on developing, financing, and investing for top-notch commercial properties across petrochemicals, software, life sciences, real estate, finance, and IT sectors.","Python
Machine Learning
Computer Vision
NLP
Scikit-learn",https://www.instahyre.com/job-295297-senior-data-scientist-at-the-chatterjee-group-real-estate-mumbai/
Walker Digital Table Systems - Embedded C++ Developer,Job available in Gurgaon,Founded in 2010,500 - 1000 employees,"Walker Digital Table Systems is a startup in the casino industry, it is the world's largest supplier of RFID-enabled table games and casino products for automating casino operations and minimizing losses.","Python
Embedded C++
Firmware Development",https://www.instahyre.com/job-295300-embedded-c-developer-at-walker-digital-table-systems-gurgaon/
Wayfair - Senior Software Engineer,Job available in Bangalore,Founded in 2002,More than 1000 employees,"Wayfair is the online destination for the home and a pure-play online retailer that offers a wide range of home goods and furniture products for the bedroom, living room, kitchen and dining, bathroom, and more.","Python
Java
AWS
Monitoring
RDBMS",https://www.instahyre.com/job-295305-senior-software-engineer-at-wayfair-bangalore/
Wayfair - Senior Software Engineer - Engineering Effectiveness,Job available in Bangalore,Founded in 2002,More than 1000 employees,"Wayfair is the online destination for the home and a pure-play online retailer that offers a wide range of home goods and furniture products for the bedroom, living room, kitchen and dining, bathroom, and more.","Python
Java
SQL
C#
AWS",https://www.instahyre.com/job-295176-senior-software-engineer-engineering-effectiveness-at-wayfair-bangalore/
Wayfair - Software Engineer - II,Job available in Bangalore,Founded in 2002,More than 1000 employees,"Wayfair is the online destination for the home and a pure-play online retailer that offers a wide range of home goods and furniture products for the bedroom, living room, kitchen and dining, bathroom, and more.","Python
Java
Monitoring
AWS
Logging",https://www.instahyre.com/job-295301-software-engineer-ii-at-wayfair-bangalore/
"Wayfair - Software Engineer - II, Engineering Effectiveness",Job available in Bangalore,Founded in 2002,More than 1000 employees,"Wayfair is the online destination for the home and a pure-play online retailer that offers a wide range of home goods and furniture products for the bedroom, living room, kitchen and dining, bathroom, and more.","Python
Java
C++
SQL
AWS",https://www.instahyre.com/job-295177-software-engineer-ii-engineering-effectiveness-at-wayfair-bangalore/
Airveda - Full Stack Developer,Job available in Gurgaon,Founded in 2016,10 - 50 employees,"Airveda is trying to help people breathe well by creating products that can monitor air quality and improve it as well. It also has a mobile app which updates users on real time AQI, suggests actions and provides experts advices.","Python
JavaScript
Angular
Django
React.js
Vue.js",https://www.instahyre.com/job-295088-full-stack-developer-at-airveda-gurgaon/
Allen Career Institute - Staff Software Engineer - Backend,Job available in Bangalore,Founded in 1988,More than 1000 employees,"Allen is a career coaching institute that offers classroom, distance learning, and online courses to students who are appearing for national-level entrance exams while operating across 35 cities nationwide.","Python
Java
Data Structures
Golang
Algorithms",https://www.instahyre.com/job-295082-staff-software-engineer-backend-at-allen-career-institute-bangalore/
Amazon Ads - Software Development Engineer - II,Job available in Bangalore,Founded in 2010,More than 1000 employees,"Amazon Ads helps brands of all sizes design ad experiences and craft relevant campaigns to delight customers around the world both on and off Amazon properties, currently catering to a 300+ million user base.","Python
C++
Golang
Java
Ruby",https://www.instahyre.com/job-295134-software-development-engineer-ii-at-amazon-ads-bangalore/
Aumni Techworks - Python Developer,Job available in Pune,Founded in 2016,200 - 500 employees,"Aumni Techworks is an IT company that democratizes the software development landscape by providing project-based outsourcing services to contribute to the growth of global software companies, with lower investment.","Python
AWS
Microservices",https://www.instahyre.com/job-295092-python-developer-at-aumni-techworks-pune/
D. E. Shaw - Technical Project Manager,"Job available in Gurgaon, Hyderabad",Founded in 1988,More than 1000 employees,D. E. Shaw is an investment management firm that develops technology products based around algorithmic trading and mathematical models to exploit market anomalies. Founded by Stanford alumni.,"Python
Java",https://www.instahyre.com/job-295091-technical-project-manager-at-d-e-gurgaon-hyderabad/
